"fico_range_low","fico_range_high","installment","int_rate","loan_amnt","annual_inc"
695,699,867.86,15.1,25000,68900
665,669,819.9,21.49,30000,70000
665,669,863.13,17.14,34625,150000
695,699,573.82,24.24,19850,63000
780,784,486.97,6.03,16000,80000
725,729,673.79,12.99,20000,66000
685,689,381.23,12.88,16800,65000
685,689,262.43,14.49,7625,75000
710,714,844.52,13.18,25000,90000
660,664,510.07,9.17,16000,90000
700,704,553.42,20.49,20675,46000
685,689,323.82,19.99,12225,34000
670,674,155.47,13.98,4550,72000
775,779,480.44,7.26,15500,182000
730,734,431.77,6.92,14000,110000
690,694,315.53,15.8,9000,91000
665,669,149.29,16.78,4200,43000
720,724,317.54,8.9,10000,50000
690,694,374.54,10.64,11500,47341
755,759,491.01,10.99,15000,67000
675,679,540.96,20.99,20000,87000
680,684,531.82,12.05,16000,50868
665,669,268.36,12.69,8000,31680
665,669,379.76,8.67,12000,65000
670,674,445.22,16.78,18000,48000
675,679,344.95,14.65,10000,74000
690,694,409.25,12.12,12300,55000
715,719,224.07,9.45,7000,93000
685,689,358.27,12.29,16000,83000
670,674,717.07,17.57,28500,65000
660,664,344.07,14.47,10000,90000
780,784,457.79,16.49,18625,55000
750,754,321.13,9.67,10000,36000
710,714,654.68,10.99,20000,95000
705,709,185.98,7.26,6000,80000
715,719,1179.12,12.99,35000,130000
675,679,139.86,15.61,4000,45960
730,734,1140.07,10.65,35000,156000
680,684,1043.2,15.22,30000,2e+05
670,674,472.46,13.11,14000,49000
670,674,163.38,9.17,5125,65000
685,689,581.34,24.08,20175,45000
680,684,413.94,14.65,12000,92000
700,704,706.01,16.29,20000,120000
695,699,442.43,16.49,18000,103000
760,764,610.62,6.24,20000,150000
680,684,367.19,19.52,14000,175000
700,704,726.48,24.5,25000,220000
685,689,191.28,9.17,6000,61000
735,739,111.14,8.9,3500,14500
680,684,331.15,14.65,9600,27000
705,709,249.12,15.31,10400,44000
675,679,519.68,14.96,15000,171996
675,679,309.73,17.14,17475,52518.72
700,704,154.53,14.33,4500,70000
740,744,197.78,11.47,6000,1e+05
660,664,192.17,9.49,6000,26000
690,694,248.82,7.49,8000,150000
685,689,156.46,7.9,5000,1e+05
690,694,1195.88,13.98,35000,250000
710,714,257.8,9.91,8000,35000
660,664,262.08,18.49,7200,1e+05
665,669,108.82,18.24,3000,110000
695,699,278.39,7.12,9000,115000
715,719,318.15,16.29,13000,125000
735,739,1145.69,10.99,35000,105000
670,674,323.8,11.99,9750,35000
715,719,789.04,12.59,35000,133000
660,664,471.16,15.61,13475,60800
670,674,727.87,14.99,21000,113000
690,694,1163.96,12.99,34550,84000
685,689,373.67,15.31,15600,65000
705,709,869.66,16.99,35000,145000
715,719,768.28,6.68,25000,57000
665,669,420.42,15.31,12075,34524
685,689,975.64,22.45,35000,162400
710,714,159.92,12.21,4800,64000
710,714,197.13,7.9,6300,50000
690,694,826.24,14.65,35000,91600
700,704,239.18,13.98,7000,110000
740,744,215.6,17.56,6000,83245
695,699,632.87,11.47,19200,52000
675,679,174.83,15.61,5000,18000
695,699,548.59,12.29,24500,49000
710,714,164.02,11.14,5000,38400
675,679,393.42,19.52,15000,64500
715,719,434.01,15.61,18000,65000
750,754,643.28,17.27,17975,47340
660,664,216.05,10.99,6600,75000
